,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
0,1,144.0,"[Timestamp('2024-08-17 00:00:00'), Timestamp('2024-05-27 00:00:00'), Timestamp('2024-08-29 00:00:00')]",3,2024-08-29,611,3,3,4,334,3.5
1,2,136.25,"[Timestamp('2024-08-17 00:00:00'), Timestamp('2024-07-17 00:00:00'), Timestamp('2022-07-19 00:00:00')]",3,2024-08-17,623,3,3,4,334,3.5
2,3,760.8,"[Timestamp('2024-08-14 00:00:00'), Timestamp('2024-06-25 00:00:00'), Timestamp('2024-06-04 00:00:00'), Timestamp('2025-11-28 00:00:00'), Timestamp('2025-02-25 00:00:00'), Timestamp('2025-01-18 00:00:00')]",6,2025-11-28,155,5,4,5,545,4.5
3,4,440.0,"[Timestamp('2024-08-02 00:00:00'), Timestamp('2024-07-02 00:00:00'), Timestamp('2024-06-02 00:00:00'), Timestamp('2024-05-02 00:00:00'), Timestamp('2024-04-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-02-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-12-02 00:00:00'), Timestamp('2023-11-02 00:00:00'), Timestamp('2023-10-02 00:00:00'), Timestamp('2023-06-14 00:00:00'), Timestamp('2023-04-18 00:00:00'), Timestamp('2023-04-17 00:00:00'), Timestamp('2025-05-19 00:00:00'), Timestamp('2025-04-18 00:00:00'), Timestamp('2025-03-18 00:00:00'), Timestamp('2025-02-18 00:00:00'), Timestamp('2025-01-18 00:00:00')]",19,2025-05-19,348,5,5,5,555,5.0
4,5,422.0,"[Timestamp('2024-08-02 00:00:00'), Timestamp('2024-03-21 00:00:00'), Timestamp('2023-12-12 00:00:00'), Timestamp('2023-11-28 00:00:00')]",4,2024-08-02,638,3,3,5,335,4.0
5,6,208.0,"[Timestamp('2024-08-01 00:00:00'), Timestamp('2024-06-09 00:00:00')]",2,2024-08-01,639,3,2,5,325,3.5
6,7,918.4,"[Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00')]",20,2024-08-01,639,3,5,5,355,5.0
7,8,168.0,"[Timestamp('2024-07-14 00:00:00'), Timestamp('2024-06-14 00:00:00'), Timestamp('2025-03-10 00:00:00')]",3,2025-03-10,418,4,3,4,434,3.5
8,9,238.0,"[Timestamp('2024-07-05 00:00:00'), Timestamp('2024-06-10 00:00:00'), Timestamp('2025-05-06 00:00:00'), Timestamp('2024-11-18 00:00:00')]",4,2025-05-06,361,5,3,5,535,4.0
9,10,371.99,"[Timestamp('2024-07-05 00:00:00'), Timestamp('2023-12-29 00:00:00'), Timestamp('2022-02-18 00:00:00'), Timestamp('2025-05-23 00:00:00')]",4,2025-05-23,344,5,3,5,535,4.0
10,11,84.0,"[Timestamp('2024-07-04 00:00:00'), Timestamp('2024-03-14 00:00:00')]",2,2024-07-04,667,3,2,3,323,2.5
11,12,308.0,"[Timestamp('2024-07-04 00:00:00'), Timestamp('2024-07-04 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-04 00:00:00'), Timestamp('2024-05-04 00:00:00'), Timestamp('2025-06-28 00:00:00')]",7,2025-06-28,308,5,4,5,545,4.5
12,13,508.0,"[Timestamp('2024-07-03 00:00:00'), Timestamp('2024-05-16 00:00:00'), Timestamp('2023-02-20 00:00:00'), Timestamp('2025-12-21 00:00:00'), Timestamp('2025-07-06 00:00:00'), Timestamp('2025-03-16 00:00:00'), Timestamp('2025-02-08 00:00:00')]",7,2025-12-21,132,5,4,5,545,4.5
13,14,181.94,"[Timestamp('2024-07-03 00:00:00'), Timestamp('2023-07-20 00:00:00'), Timestamp('2021-12-21 00:00:00')]",3,2024-07-03,668,3,3,5,335,4.0
14,15,56.0,[Timestamp('2024-07-03 00:00:00')],1,2024-07-03,668,3,1,2,312,1.5
15,16,84.0,"[Timestamp('2024-07-02 00:00:00'), Timestamp('2024-05-05 00:00:00')]",2,2024-07-02,669,3,2,3,323,2.5
16,17,100.8,"[Timestamp('2024-07-02 00:00:00'), Timestamp('2024-03-06 00:00:00')]",2,2024-07-02,669,3,2,4,324,3.0
17,18,219.5,"[Timestamp('2024-06-28 00:00:00'), Timestamp('2024-05-26 00:00:00'), Timestamp('2024-03-05 00:00:00')]",3,2024-06-28,673,3,3,5,335,4.0
18,19,265.0,"[Timestamp('2024-06-26 00:00:00'), Timestamp('2024-01-16 00:00:00'), Timestamp('2023-09-11 00:00:00'), Timestamp('2025-12-23 00:00:00')]",4,2025-12-23,130,5,3,5,535,4.0
19,20,28.0,[Timestamp('2024-06-25 00:00:00')],1,2024-06-25,676,3,1,1,311,1.0
20,21,188.0,"[Timestamp('2024-06-25 00:00:00'), Timestamp('2024-05-25 00:00:00'), Timestamp('2025-03-25 00:00:00')]",3,2025-03-25,403,4,3,5,435,4.0
21,22,112.19999999999999,"[Timestamp('2024-06-23 00:00:00'), Timestamp('2025-03-02 00:00:00'), Timestamp('2024-08-23 00:00:00')]",3,2025-03-02,426,4,3,4,434,3.5
22,23,62.4,[Timestamp('2024-06-22 00:00:00')],1,2024-06-22,679,3,1,3,313,2.0
23,24,28.0,[Timestamp('2024-06-22 00:00:00')],1,2024-06-22,679,3,1,1,311,1.0
24,25,80.0,[Timestamp('2024-06-21 00:00:00')],1,2024-06-21,680,3,1,3,313,2.0
25,26,1283.24,"[Timestamp('2024-06-19 00:00:00'), Timestamp('2023-08-14 00:00:00'), Timestamp('2023-06-06 00:00:00'), Timestamp('2023-03-14 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2026-04-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2024-12-31 00:00:00')]",8,2026-04-02,30,5,4,5,545,4.5
26,27,28.0,[Timestamp('2024-06-17 00:00:00')],1,2024-06-17,684,3,1,1,311,1.0
27,28,40.0,[Timestamp('2024-06-16 00:00:00')],1,2024-06-16,685,3,1,2,312,1.5
28,29,22.4,[Timestamp('2024-06-15 00:00:00')],1,2024-06-15,686,3,1,1,311,1.0
29,30,28.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,688,3,1,1,311,1.0
30,31,28.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,688,3,1,1,311,1.0
31,32,100.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,688,3,1,4,314,2.5
32,33,250.0,"[Timestamp('2024-06-13 00:00:00'), Timestamp('2025-07-06 00:00:00'), Timestamp('2025-01-01 00:00:00')]",3,2025-07-06,300,5,3,5,535,4.0
33,34,240.0,"[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-05-29 00:00:00'), Timestamp('2023-12-10 00:00:00'), Timestamp('2023-11-29 00:00:00'), Timestamp('2025-11-23 00:00:00'), Timestamp('2025-02-01 00:00:00'), Timestamp('2025-02-01 00:00:00')]",7,2025-11-23,160,5,4,5,545,4.5
34,35,28.0,[Timestamp('2024-06-09 00:00:00')],1,2024-06-09,692,3,1,1,311,1.0
35,36,28.0,[Timestamp('2024-06-09 00:00:00')],1,2024-06-09,692,3,1,1,311,1.0
36,37,1200.0,"[Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00')]",20,2024-06-08,693,3,5,5,355,5.0
37,38,63.0,[Timestamp('2024-06-08 00:00:00')],1,2024-06-08,693,3,1,3,313,2.0
38,39,153.5,"[Timestamp('2024-06-07 00:00:00'), Timestamp('2026-02-02 00:00:00'), Timestamp('2025-01-10 00:00:00')]",3,2026-02-02,89,5,3,4,534,3.5
39,40,45.0,[Timestamp('2024-06-06 00:00:00')],1,2024-06-06,695,3,1,2,312,1.5
40,41,56.0,[Timestamp('2024-06-06 00:00:00')],1,2024-06-06,695,3,1,2,312,1.5
41,42,50.0,[Timestamp('2024-06-05 00:00:00')],1,2024-06-05,696,3,1,2,312,1.5
42,43,28.0,[Timestamp('2024-06-05 00:00:00')],1,2024-06-05,696,3,1,1,311,1.0
43,44,123.0,"[Timestamp('2024-06-05 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2025-04-16 00:00:00')]",3,2025-04-16,381,5,3,4,534,3.5
44,45,78.0,"[Timestamp('2024-06-05 00:00:00'), Timestamp('2024-01-08 00:00:00')]",2,2024-06-05,696,3,2,3,323,2.5
45,46,50.0,[Timestamp('2024-06-04 00:00:00')],1,2024-06-04,697,3,1,2,312,1.5
46,47,50.0,[Timestamp('2024-06-04 00:00:00')],1,2024-06-04,697,3,1,2,312,1.5
47,48,28.0,[Timestamp('2024-06-03 00:00:00')],1,2024-06-03,698,3,1,1,311,1.0
48,49,98.0,"[Timestamp('2024-06-03 00:00:00'), Timestamp('2024-11-10 00:00:00')]",2,2024-11-10,538,4,2,4,424,3.0
49,50,252.0,"[Timestamp('2024-06-03 00:00:00'), Timestamp('2023-02-18 00:00:00'), Timestamp('2023-01-25 00:00:00')]",3,2024-06-03,698,3,3,5,335,4.0
50,51,28.0,[Timestamp('2024-06-02 00:00:00')],1,2024-06-02,699,3,1,1,311,1.0
51,52,28.0,[Timestamp('2024-06-01 00:00:00')],1,2024-06-01,700,3,1,1,311,1.0
52,53,28.0,[Timestamp('2024-05-31 00:00:00')],1,2024-05-31,701,3,1,1,311,1.0
53,54,50.0,[Timestamp('2024-05-30 00:00:00')],1,2024-05-30,702,3,1,2,312,1.5
54,55,359.0,"[Timestamp('2024-05-29 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-03 00:00:00'), Timestamp('2023-11-04 00:00:00'), Timestamp('2023-10-04 00:00:00'), Timestamp('2023-09-04 00:00:00')]",8,2024-05-29,703,3,4,5,345,4.5
55,56,22.4,[Timestamp('2024-05-29 00:00:00')],1,2024-05-29,703,3,1,1,311,1.0
56,57,112.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-21 00:00:00')]",4,2024-05-28,704,3,3,4,334,3.5
57,58,352.9,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-03-25 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-06-30 00:00:00'), Timestamp('2023-01-26 00:00:00'), Timestamp('2025-04-15 00:00:00')]",6,2025-04-15,382,4,4,5,445,4.5
58,59,705.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2025-10-30 00:00:00'), Timestamp('2025-09-30 00:00:00'), Timestamp('2025-08-30 00:00:00'), Timestamp('2025-07-30 00:00:00')]",8,2025-10-30,184,5,4,5,545,4.5
59,60,230.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00')]",2,2024-05-28,704,3,2,5,325,3.5
60,61,105.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-08-29 00:00:00')]",2,2024-08-29,611,3,2,4,324,3.0
61,62,284.8,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-11-06 00:00:00')]",5,2024-11-06,542,4,4,5,445,4.5
62,63,180.0,"[Timestamp('2024-05-27 00:00:00'), Timestamp('2024-05-27 00:00:00'), Timestamp('2024-03-18 00:00:00'), Timestamp('2024-03-18 00:00:00')]",4,2024-05-27,705,3,3,5,335,4.0
63,64,24.0,[Timestamp('2024-05-26 00:00:00')],1,2024-05-26,706,3,1,1,311,1.0
64,65,50.0,[Timestamp('2024-05-26 00:00:00')],1,2024-05-26,706,3,1,2,312,1.5
65,66,100.0,"[Timestamp('2024-05-26 00:00:00'), Timestamp('2024-09-03 00:00:00')]",2,2024-09-03,606,3,2,4,324,3.0
66,67,50.0,[Timestamp('2024-05-26 00:00:00')],1,2024-05-26,706,3,1,2,312,1.5
67,68,50.0,[Timestamp('2024-05-25 00:00:00')],1,2024-05-25,707,3,1,2,312,1.5
68,69,180.0,"[Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-23 00:00:00'), Timestamp('2024-05-20 00:00:00')]",3,2024-05-24,708,3,3,5,335,4.0
69,70,318.0,"[Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2023-08-24 00:00:00'), Timestamp('2023-08-24 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2025-03-30 00:00:00')]",7,2025-03-30,398,4,4,5,445,4.5
70,71,499.84000000000003,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2023-10-23 00:00:00'), Timestamp('2023-08-30 00:00:00'), Timestamp('2023-07-08 00:00:00'), Timestamp('2022-11-03 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2025-04-20 00:00:00')]",7,2025-04-20,377,5,4,5,545,4.5
71,72,115.0,[Timestamp('2024-05-23 00:00:00')],1,2024-05-23,709,3,1,4,314,2.5
72,73,584.0,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-02 00:00:00'), Timestamp('2024-08-27 00:00:00')]",7,2024-08-27,613,3,4,5,345,4.5
73,74,860.0,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2024-05-23 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-02 00:00:00'), Timestamp('2023-05-02 00:00:00')]",12,2024-05-23,709,3,5,5,355,5.0
74,75,28.0,[Timestamp('2024-05-23 00:00:00')],1,2024-05-23,709,3,1,1,311,1.0
75,76,22.4,[Timestamp('2024-05-22 00:00:00')],1,2024-05-22,710,3,1,1,311,1.0
76,77,78.0,[Timestamp('2024-05-22 00:00:00')],1,2024-05-22,710,3,1,3,313,2.0
77,78,84.8,[Timestamp('2024-05-21 00:00:00')],1,2024-05-21,711,3,1,4,314,2.5
78,79,22.4,[Timestamp('2024-05-19 00:00:00')],1,2024-05-19,713,3,1,1,311,1.0
79,80,324.0,"[Timestamp('2024-05-17 00:00:00'), Timestamp('2024-05-17 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00')]",4,2024-05-17,715,3,3,5,335,4.0
80,81,219.39999999999998,"[Timestamp('2024-05-15 00:00:00'), Timestamp('2025-12-01 00:00:00'), Timestamp('2024-11-28 00:00:00'), Timestamp('2024-09-10 00:00:00')]",4,2025-12-01,152,5,3,5,535,4.0
81,82,28.0,[Timestamp('2024-05-14 00:00:00')],1,2024-05-14,718,3,1,1,311,1.0
82,83,80.0,[Timestamp('2024-05-13 00:00:00')],1,2024-05-13,719,3,1,3,313,2.0
83,84,92.0,[Timestamp('2024-05-13 00:00:00')],1,2024-05-13,719,3,1,4,314,2.5
84,85,28.0,[Timestamp('2024-05-12 00:00:00')],1,2024-05-12,720,3,1,1,311,1.0
85,86,140.0,[Timestamp('2024-05-09 00:00:00')],1,2024-05-09,723,3,1,4,314,2.5
86,87,3216.0,"[Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2025-01-17 00:00:00'), Timestamp('2024-12-12 00:00:00'), Timestamp('2024-09-10 00:00:00')]",55,2025-01-17,470,4,5,5,455,5.0
87,88,28.0,[Timestamp('2024-05-07 00:00:00')],1,2024-05-07,725,3,1,1,311,1.0
88,89,28.0,[Timestamp('2024-05-05 00:00:00')],1,2024-05-05,727,3,1,1,311,1.0
89,90,130.0,[Timestamp('2024-05-05 00:00:00')],1,2024-05-05,727,3,1,4,314,2.5
90,91,100.8,"[Timestamp('2024-05-05 00:00:00'), Timestamp('2024-02-23 00:00:00')]",2,2024-05-05,727,3,2,4,324,3.0
91,92,100.8,"[Timestamp('2024-05-05 00:00:00'), Timestamp('2024-02-23 00:00:00')]",2,2024-05-05,727,3,2,4,324,3.0
92,93,28.0,[Timestamp('2024-05-03 00:00:00')],1,2024-05-03,729,3,1,1,311,1.0
93,94,3502.9,"[Timestamp('2024-05-03 00:00:00'), Timestamp('2024-05-03 00:00:00'), Timestamp('2024-05-03 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2025-11-24 00:00:00'), Timestamp('2025-05-07 00:00:00'), Timestamp('2024-08-29 00:00:00')]",33,2025-11-24,159,5,5,5,555,5.0
94,95,50.4,"[Timestamp('2024-05-03 00:00:00'), Timestamp('2024-04-19 00:00:00')]",2,2024-05-03,729,3,2,2,322,2.0
95,96,50.0,[Timestamp('2024-05-02 00:00:00')],1,2024-05-02,730,3,1,2,312,1.5
96,97,94.05,[Timestamp('2024-05-01 00:00:00')],1,2024-05-01,731,3,1,4,314,2.5
97,98,28.0,[Timestamp('2024-04-30 00:00:00')],1,2024-04-30,732,3,1,1,311,1.0
98,99,44.8,"[Timestamp('2024-04-30 00:00:00'), Timestamp('2024-04-30 00:00:00')]",2,2024-04-30,732,3,2,2,322,2.0
99,100,582.96,"[Timestamp('2024-04-30 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2023-11-23 00:00:00'), Timestamp('2023-08-15 00:00:00'), Timestamp('2023-05-07 00:00:00'), Timestamp('2023-01-27 00:00:00'), Timestamp('2022-11-20 00:00:00'), Timestamp('2025-11-28 00:00:00'), Timestamp('2025-01-01 00:00:00'), Timestamp('2024-12-02 00:00:00')]",10,2025-11-28,155,5,5,5,555,5.0
100,101,72.8,[Timestamp('2024-04-29 00:00:00')],1,2024-04-29,733,3,1,3,313,2.0
101,102,310.6,"[Timestamp('2024-04-29 00:00:00'), Timestamp('2023-11-20 00:00:00'), Timestamp('2025-06-29 00:00:00'), Timestamp('2025-06-29 00:00:00'), Timestamp('2025-03-11 00:00:00'), Timestamp('2024-10-19 00:00:00')]",6,2025-06-29,307,5,4,5,545,4.5
102,103,168.0,"[Timestamp('2024-04-28 00:00:00'), Timestamp('2025-07-06 00:00:00')]",2,2025-07-06,300,5,2,4,524,3.0
103,104,22.4,[Timestamp('2024-04-27 00:00:00')],1,2024-04-27,735,3,1,1,311,1.0
104,105,3589.65,"[Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-08-25 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-04-02 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2023-01-30 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-06-15 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2025-10-28 00:00:00'), Timestamp('2025-09-11 00:00:00')]",58,2025-10-28,186,5,5,5,555,5.0
105,106,262.0,"[Timestamp('2024-04-26 00:00:00'), Timestamp('2024-01-06 00:00:00')]",2,2024-04-26,736,3,2,5,325,3.5
106,107,28.0,[Timestamp('2024-04-26 00:00:00')],1,2024-04-26,736,3,1,1,311,1.0
107,108,474.99,"[Timestamp('2024-04-25 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-02-21 00:00:00'), Timestamp('2023-02-19 00:00:00'), Timestamp('2022-10-21 00:00:00'), Timestamp('2022-05-18 00:00:00'), Timestamp('2025-11-23 00:00:00'), Timestamp('2025-02-28 00:00:00')]",9,2025-11-23,160,5,4,5,545,4.5
108,109,22.4,[Timestamp('2024-04-24 00:00:00')],1,2024-04-24,738,3,1,1,311,1.0
109,110,50.0,[Timestamp('2024-04-23 00:00:00')],1,2024-04-23,739,3,1,2,312,1.5
110,111,2150.0,"[Timestamp('2024-04-23 00:00:00'), Timestamp('2024-04-23 00:00:00'), Timestamp('2024-04-23 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2025-01-05 00:00:00'), Timestamp('2024-10-19 00:00:00'), Timestamp('2024-08-18 00:00:00'), Timestamp('2024-08-18 00:00:00')]",19,2025-01-05,482,4,5,5,455,5.0
111,112,22.4,[Timestamp('2024-04-22 00:00:00')],1,2024-04-22,740,3,1,1,311,1.0
112,113,913.99,"[Timestamp('2024-04-21 00:00:00'), Timestamp('2023-10-18 00:00:00'), Timestamp('2023-10-04 00:00:00'), Timestamp('2023-02-07 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2022-06-03 00:00:00'), Timestamp('2024-10-23 00:00:00'), Timestamp('2024-10-21 00:00:00'), Timestamp('2024-10-19 00:00:00')]",9,2024-10-23,556,4,4,5,445,4.5
113,114,28.0,[Timestamp('2024-04-20 00:00:00')],1,2024-04-20,742,3,1,1,311,1.0
